mean_ms,median_ms,p95_ms,min_ms,max_ms,model,benchmark_type,batch_size,repeats,warmup,seed,mean_ms_per_customer,median_ms_per_customer,customers_per_second_mean
0.06349766665759186,0.0620714999968186,0.0647505497909151,0.06090399983804673,0.22762600201531313,tiny_ann,model_only_preprocessed,1,300,30,314,0.06349766665759186,0.0620714999968186,15748.61018740188
3.1491831167659257,3.1004935008240864,3.533788399545301,2.9463200007739943,4.670073001761921,tiny_ann,end_to_end_python_preprocess_plus_model,1,300,30,314,3.1491831167659257,3.1004935008240864,317.5426651680251
0.33487177000400453,0.31969600058801007,0.4030675505418913,0.303971999528585,0.6003990019962657,xgboost,model_only_preprocessed,1,300,30,314,0.33487177000400453,0.31969600058801007,2986.217679645082
2.6631245433115205,2.61743449846108,2.986195351149945,2.4133690021699294,4.466445003345143,xgboost,end_to_end_python_preprocess_plus_model,1,300,30,314,2.6631245433115205,2.61743449846108,375.4987736159452
0.06787882003360816,0.06679800208075903,0.07004264843999408,0.06573500286322087,0.18729800285655074,tiny_ann,model_only_preprocessed,32,300,30,314,0.002121213126050255,0.00208743756502372,471428.3481085287
3.2610193067375803,3.2012810006563086,3.620673549630738,3.0049529996176716,4.529226000158815,tiny_ann,end_to_end_python_preprocess_plus_model,32,300,30,314,0.10190685333554939,0.10004003127050964,9812.882718567447
0.476779503490737,0.468254000224988,0.4953011019097176,0.46098600068944506,0.8561809991078917,xgboost,model_only_preprocessed,32,300,30,314,0.014899359484085531,0.014632937507030874,67116.97916062304
2.890050129899464,2.8603175014723092,3.1888970004729345,2.6576740019663703,4.951261002133833,xgboost,end_to_end_python_preprocess_plus_model,32,300,30,314,0.09031406655935825,0.08938492192100966,11072.472296912434
0.08708387655739595,0.08651400094095152,0.08897680309019051,0.0850649994390551,0.12404500012053177,tiny_ann,model_only_preprocessed,300,300,30,314,0.00029027958852465317,0.0002883800031365051,3444954.5869983584
3.6054726800405965,3.3748179994290695,3.7442908505909145,3.1888979974610265,60.66478900174843,tiny_ann,end_to_end_python_preprocess_plus_model,300,300,30,314,0.012018242266801989,0.011249393331430232,83206.8432138618
1.5132962668333978,1.4839405012025964,1.7242254009033786,1.4300539987743832,1.9737180009542499,xgboost,model_only_preprocessed,300,300,30,314,0.005044320889444659,0.0049464683373419875,198242.74107789606
4.364093233331611,3.9684185012447415,4.957774650210923,3.6872220007353462,61.986080996575765,xgboost,end_to_end_python_preprocess_plus_model,300,300,30,314,0.014546977444438704,0.013228061670815805,68742.80267632498
0.17029438662575558,0.15309499940485694,0.2884554007323459,0.14943999849492684,0.4746289996546693,tiny_ann,model_only_preprocessed,1500,300,30,314,0.00011352959108383706,0.00010206333293657129,8808276.242812678
4.154814376694655,4.045351499371463,4.7351536004498485,3.739350999239832,7.531364000897156,tiny_ann,end_to_end_python_preprocess_plus_model,1500,300,30,314,0.00276987625112977,0.0026969009995809756,361026.95908964257
6.277556036911847,6.04168599966215,7.178675400427893,5.581684999924619,21.31785700112232,xgboost,model_only_preprocessed,1500,300,30,314,0.004185037357941231,0.004027790666441433,238946.4930587706
9.232800779973331,9.23684599911212,10.130801349441754,8.334644000569824,11.49659400107339,xgboost,end_to_end_python_preprocess_plus_model,1500,300,30,314,0.006155200519982221,0.006157897332741413,162464.24413853028
